id,name,category,x,y
14,"Abbest Cave","Locations",-205.28125,109.82669398907103
60,"Abysseram","Weapons",-195.40625,119.51717896174864
80,"Abysseram","Weapons",-206.09375,125.42426912568305
343,"Abysseram","Weapons",-167.125,121.07784836065574
101,"Accelerating Heal","Pictos",-175.40625,126.8310450819672
20,"Ancient Gestral City","Locations",-207.34375,115.86025956284152
6,"Ancient Sanctuary","Locations",-200.90625,112.67106557377049
313,"Angerim","Weapons",-149.59375,118.24962746969949
335,"Anti-Blight","Pictos",-211.38073340095355,138.01839242978215
368,"Anti-Stun","Pictos",-183.8125,146.1271172813036
103,"Appla","Merchants",-194.3125,129.08178961748632
49,"Artist Haircut (Lune)","Outfits",-199.78125,108.35777322404371
48,"Artist Haircut (Maelle)","Outfits",-200.375,109.10793715846995
47,"Artist Haircut (Sciel)","Outfits",-199.5,109.3267349726776
61,"Augment Counter I","Pictos",-195.3125,118.73575819672132
344,"Augment Counter I","Pictos",-166.875,122.04681010928962
81,"Augmented Counter I","Pictos",-204.5625,124.79913251366119
183,"Ballaro","Weapons",-87.125,84.79569672131147
207,"Ballaro","Weapons",-143.09375,133.8919193989071
176,"Battlum","Weapons",-95.8125,83.35927595628415
355,"Benisim","Weapons",-209.43618975269052,152.742513037864
9,"Blabary","Merchants",-200.1875,109.98396174863387
161,"Blackora","Merchants",-147.65625,101.64039617486338
28,"Blades' Graveyard","Locations",-169.28125,107.92223360655737
212,"Blodam","Weapons",-146.125,145.20458333333335
30,"Boat Graveyard","Locations",-162.3125,128.8330532786885
58,"Bourgeon","Bosses",-194.40625,119.01758196721312
77,"Bourgeon","Bosses",-205.875,124.45555327868853
153,"Bourgeon","Bosses",-138.09375,90.10821038251365
342,"Bourgeon","Bosses",-167.78125,121.68903517537723
106,"Braid Hairdcut (Lune)","Outfits",-195.53125,129.14217213114753
154,"Breaking Burn","Pictos",-137.46875,89.32977459016394
324,"Breaking Death","Pictos",-191.3125,134.8118963838246
